Image,L2CA,L2CD,Energy,Original std,Original mean,cA5 std,cA5 mean,cD5 std,cD5 mean,cD4 mean,cD4 std,cD3 mean,cD3 std,cD2 mean,cD2 std,cD1 mean,cD1 std,Class
Extract1.bmp,68243.902473499,7172.3747914734,419.9425318315,98.9983509945,163.1616571429,359.0973479016,930.5856224864,175.8452230127,-0.4538401807,128.2092685682,4.0900103391,145.7768165643,-0.302160091,64.1035304702,-0.0132646463,16.0206232812,0.0722696155,Live
Extract1.png,70777.8630447713,5391.6860828125,237.3083984946,110.0461019408,163.6232,570.1467664979,933.159900668,125.7775668409,0.323091766,77.5976765751,-0.4746868126,62.6364264804,-0.1328970097,42.9687385277,-0.0302071719,13.2655066741,0.0194780634,Fake
Extract10.bmp,65352.0989406296,10174.0921976735,844.9971595654,78.6586676883,167.9008734694,174.2743314256,952.2598156284,143.6366448693,0.1236990148,138.9276208757,1.8022282531,130.4494715188,0.3267382614,53.5907781429,-0.0849707843,33.5598887415,0.2545692467,Live
Extract10.png,72815.4843911259,4495.7942441463,164.9972725363,108.4447789362,171.5767918367,564.6424328511,977.4935392466,124.8713220603,-2.5008403665,78.8651843302,0.3478717222,62.4989692669,0.002818504,34.9850695908,-0.0431240907,11.693428125,0.014897026,Fake
Extract100.bmp,67281.7494343461,9727.3793764499,772.4237512929,67.9934044573,178.2632979592,156.3319870966,1007.1740014351,151.8131532976,-1.330507093,156.3233055644,-0.2479014356,74.8500306107,-0.2115015157,39.5125939727,0.0183402905,32.7661779517,0.0787343676,Live
Extract100.png,70583.53074684,4533.4897261119,167.7757477287,109.245276421,163.2616979592,575.1633483012,931.1448738534,122.9182929489,-0.2935577834,71.4010403261,-0.0892722785,51.060981897,0.08658483,37.563719006,-0.0030345273,13.1037714892,-0.02794779,Fake
Extract1000.bmp,74536.7377915868,10902.8684952135,970.3880932565,69.6624183229,199.6468163265,167.2084594564,1132.8157691262,184.5070803072,-0.7758926902,141.567226828,-1.0803648009,76.9628792759,-0.1288677402,43.1292973563,0.0548922421,30.0362319469,-0.0829674875,Live
Extract1000.png,68667.9479976887,5890.1406442049,283.214341294,100.1419761116,163.7643591837,457.2107395492,933.9511138856,135.880323005,3.0854517386,124.5920105055,-3.9421106149,105.9898660147,0.0320789686,40.740339971,-0.0822154915,16.3780838426,0.0170317663,Fake
Extract1001.bmp,60112.4393004093,8427.2990390136,579.7499517793,71.3870159914,154.0802857143,169.802613756,877.0970090747,134.2826265692,-3.7431697122,155.5618887246,1.5500862436,108.6585565534,0.1759496491,37.196419549,-0.0071062502,26.4624051546,0.0368364998,Live
Extract1001.png,70346.9305169066,6058.1505194177,299.6015323749,105.9922654052,165.5450938776,505.4736210812,943.8758073398,143.7524053498,-3.3414193973,97.7674764721,5.4059035309,95.7246622236,0.4286557198,52.7484861588,0.0045308751,16.9976147856,0.0053310813,Fake
