Image,L2CA,L2CD L2 CH L2 CV,Energy,Original std,Original mean,cA5 std,cA5 mean,cD5 std,cD5 mean,cD4 mean,cD4 std,cD3 mean,cD3 std,cD2 mean,cD2 std,cD1 mean,cD1 std,Class
Extract1.bmp,68243.902473499,7172.3747914734,419.9425318315,98.9983509945,163.1616571429,356.8035698255,925.3984299464,175.858601193,0.9658572932,130.9603658177,3.8811162297,143.9836570562,0.3320272487,65.4322623661,0.0284850908,16.3055803134,0.0722932103,Live
Extract1.png,70777.8630447713,5391.6860828125,237.3083984946,110.0461019408,163.6232,570.4399348517,927.9950074321,127.6398477799,-1.0741568354,77.3628165521,-1.4205028824,62.7784744497,0.1523148993,42.7850572758,0.0361924571,13.7864407073,0.0194844226,Fake
Extract10.bmp,65352.0989406296,10174.0921976735,844.9971595654,78.6586676883,167.9008734694,171.6972231145,951.2454280681,145.5251720888,-1.6278696066,139.6909880749,2.1962504998,129.1142931897,-0.2932245272,54.2773033244,-0.0397981737,33.7253135479,0.2540588477,Live
Extract10.png,72815.4843911259,4495.7942441463,164.9972725363,108.4447789362,171.5767918367,565.2764519463,972.7782070884,125.0202848352,0.8717760306,80.3847614128,1.0331269423,62.3673374046,0.0097850541,35.0003366038,0.0183759877,11.9747747809,0.0149018896,Fake
Extract100.bmp,67281.7494343461,9727.3793764499,772.4237512929,67.9934044573,178.2632979592,157.5428297682,1007.3644992569,150.7406487664,1.6832397629,155.2148778044,-0.6537694768,74.8174658627,0.2065680564,39.9355924018,-0.3227306537,32.8467974654,0.0788372307,Live
Extract100.png,70583.53074684,4533.4897261119,167.7757477287,109.245276421,163.2616979592,575.5823923605,925.9595474283,123.2196679042,1.0391017599,72.1745350857,0.0073687818,51.3716852905,-0.1171793307,37.2988012531,-0.0055647407,13.4960452501,-0.0279569145,Fake
Extract1000.bmp,74536.7377915868,10902.8684952135,970.3880932565,69.6624183229,199.6468163265,165.8302793673,1129.8421892147,182.8251221935,-4.8753620117,141.6019160692,-1.6047439367,77.8911908089,0.148105256,43.6233477091,-0.1779372895,30.1013054612,-0.0830922639,Live
Extract1000.png,68667.9479976887,5890.1406442049,283.214341294,100.1419761116,163.7643591837,456.153562764,928.7863561793,139.3203999907,0.0982596264,124.7802015868,-3.3709428668,105.0831940069,-0.0592530711,41.5025965853,-0.1065202318,16.5842939485,0.0170373269,Fake
Extract1001.bmp,60112.4393004093,8427.2990390136,579.7499517793,71.3870159914,154.0802857143,166.7328337389,874.1143670213,134.4905004116,3.5452977577,154.7803669963,2.2145237551,108.9681436488,-0.2478896665,37.9625728498,0.0145760056,26.5410761481,0.0370551865,Live
Extract1001.png,70346.9305169066,6058.1505194177,299.6015323749,105.9922654052,165.5450938776,504.9487475459,938.8150014385,146.3132212232,4.3920145952,99.1629804942,6.321650893,94.5580928674,-0.2749673102,53.096369205,-0.0686494771,17.4236755767,0.0053328218,Fake
Extract1002.bmp,68312.9141546819,6450.725573439,339.688656521,96.4822928354,164.8557714286,350.3551482309,934.9302637586,144.7755400988,9.9148885044,137.9445087244,-0.5317351209,155.5469527184,-0.1649304976,41.3755981436,0.1175806694,19.1953647972,-0.043586007,Live
Extract1002.png,70972.7230101994,5874.9123400571,281.7517959458,105.4298706058,167.7322040816,501.9680628683,951.1310504723,116.6749324847,1.1389015278,88.1491734675,-2.3272151984,107.4673686344,0.2295932462,52.9649502557,-0.0749181605,18.8967863868,0.0192189358,Fake
Extract1003.bmp,68587.0479142529,5616.5693394005,257.5171521983,98.5638776037,164.3647183673,424.1212532164,932.1679697679,130.1149965762,-1.1110688361,118.0750906875,-0.3013548782,126.0633372002,0.4080504438,48.9417321918,0.033116435,15.1744438468,0.0064640265,Live
Extract1003.png,72908.5012678198,4012.3178688565,131.4179157612,108.9078022436,171.7771102041,574.2150469865,973.9061348607,113.2701692311,-0.8952067446,74.5847231649,0.7434609099,65.0768229944,-0.2549253147,28.6259866387,0.0460600914,10.5000195088,0.0325740762,Fake
Extract1004.bmp,64232.709047208,6402.8576389539,334.6660077119,88.1531409373,156.0592816327,358.1012537346,885.4055137374,139.4867003343,-0.5165389581,158.3093091588,1.5133665521,95.694277899,0.2980724467,31.6980199056,-0.0767092465,20.662321858,-0.129926932,Live
Extract1004.png,71417.5299398605,5156.4007007591,217.0487198922,104.9037240748,169.4427346939,511.8298288983,960.7622636932,115.5621702741,0.5664393282,98.3249652987,-0.0449811664,103.1193789908,-0.3708444567,37.3714448753,0.0394227583,14.7728716163,0.0366256357,Fake
Extract1005.bmp,69279.16200764,6266.0031764745,320.5126188375,91.7729843421,170.9266122449,293.3519550183,969.1166594981,133.4600483428,-0.789067921,108.8472623463,-0.4414067872,169.8134628147,0.0074593026,49.5328712218,-0.0518227638,21.4954875002,0.2110042926,Live
Extract1005.png,71120.3885361332,6255.9318807125,319.4831322132,105.1068575328,168.4350857143,509.1350726582,955.09010886,133.0345368295,1.1220865836,98.4754922805,0.2676952404,86.2460153862,-0.1379724501,52.6980495221,-0.0181625364,17.6956672718,0.0453174427,Fake
Extract1006.bmp,66365.0817189055,11083.5763285452,1002.8217488219,66.0503538236,176.6919836735,114.131772801,999.6620706603,80.2336963597,-1.1684926629,131.6105072231,-0.0661013019,100.4444599608,0.1667452332,48.2835807145,0.1054534065,40.6165586654,0.1758322028,Live
Extract1006.png,70119.0422517924,6038.5053640665,297.6616084233,105.0842503738,165.3123265306,510.704633285,937.505739054,152.7552525057,1.0345349292,96.9030690524,1.8506538285,88.4479536287,0.322209709,43.5180764358,0.0469309257,15.3424178955,0.0176375579,Fake
Extract1007.bmp,65575.8687353272,8004.2451192316,523.003591255,73.015175402,170.0893387755,159.1053000617,962.2145527914,136.5041252101,8.8315444124,175.5057876866,0.6526511331,103.0635620105,-0.3390805965,36.07889294,-0.0083545596,27.3554670164,-0.0653909615,Live
Extract1007.png,66694.2211872084,6868.5705508005,385.1205013169,97.6360064369,159.1823265306,423.2116090676,902.9915934485,147.4341620485,3.6797868536,132.8884667947,-2.411778374,111.1602571417,-0.149520141,42.9541898282,-0.1157393224,17.7770106172,-0.0439900087,Fake
